catchment_poly_id,region,n_scenarios_top50,robustness_class,score_base,score_corisk_emphasis,score_service_emphasis,score_no_burden,score_death_heavy,score_admission_heavy,corisk_score,service_deficit_std
161,NA,5,Highly robust priority,0.7060524803196672,0.7164033070862746,0.6957016535530594,0.7845027558886923,0.627602204750642,0.6276022082565405,0.8190055117773846,0.75
160,NA,5,Highly robust priority,0.7059245263105568,0.7162327017444186,0.6956163508766949,0.7843605847795394,0.6274884678415743,0.6274884682476284,0.8187211695590787,0.75
162,NA,5,Highly robust priority,0.7051987419246715,0.7152649891548623,0.6951324946944804,0.7835541574339698,0.626843326415373,0.6268433556408847,0.8171083148679397,0.75
152,NA,5,Highly robust priority,0.7045653521837631,0.7144204695752165,0.6947102347923095,0.7828503913048449,0.6262803130626814,0.6262803133481498,0.8157007826096898,0.75
122,NA,5,Highly robust priority,0.7019670105626837,0.6359560140833134,0.767978007042054,0.7799633450687657,0.6239706760566018,0.6239706760630138,0.5599266901375314,1
166,NA,5,Highly robust priority,0.7009025054232184,0.6345366738580484,0.7672683369883884,0.7787805614494332,0.6230244493970035,0.6230244677255093,0.5575611228988664,1
208,NA,1,Low robustness priority,0.700191376457053,0.6335885019419357,0.7667942509721702,0.7779904182829427,0.6223923346311633,0.6223923346681463,0.5559808365658853,1
33,NA,1,Low robustness priority,0.6990346348993222,0.6320461798645816,0.7660230899340625,0.7767051498841984,0.6213641199144458,0.6213641199638866,0.5534102997683967,1
125,NA,1,Low robustness priority,0.687855588353736,0.6921407844530979,0.6835703922543739,0.7642839869978735,0.6114271897095985,0.6114271956553483,0.778567973995747,0.75
101,NA,1,Low robustness priority,0.6863388510294527,0.6901184680388861,0.6825592340200191,0.7625987233647783,0.610078978694127,0.6100789787050142,0.7751974467295566,0.75
253,NA,1,Low robustness priority,0.6827101101008455,0.6102801467998138,0.7551400734018772,0.7585667889965609,0.60685343120513,0.6068534312524806,0.5171335779931219,1
95,NA,1,Low robustness priority,0.6801817933579098,0.6819090578055096,0.6784545289103099,0.7557575481586662,0.6046060385571534,0.6046060389389842,0.7615150963173326,0.75
117,NA,1,Low robustness priority,0.6792990494528629,0.6057320659363754,0.7528660329693504,0.7547767216117084,0.6038213772940176,0.6038213773172699,0.5095534432234168,1
176,NA,1,Low robustness priority,0.6779496030950017,0.6789328041196937,0.6769664020703097,0.7532773367489732,0.6026218694410304,0.6026218703465143,0.7565546734979465,0.75
55,NA,1,Low robustness priority,0.6752589555451161,0.6003452740567891,0.7501726370334432,0.7502877283722431,0.600230182717989,0.6002301828569903,0.5005754567444863,1
135,NA,1,Low robustness priority,0.670644151828697,0.6691922024358147,0.6720961012215791,0.7451601686903924,0.5961281349670015,0.5961281366192687,0.7403203373807847,0.75
